iter	Accuracy	Logloss
0	0.7973964497	0.6738859045
1	0.7973964497	0.6547540371
2	0.7976331361	0.6371253248
3	0.7966863905	0.6231628739
4	0.7981065089	0.6095562299
5	0.7981065089	0.5969666728
6	0.7976331361	0.5839109946
7	0.7966863905	0.5727181131
8	0.7983431953	0.5630382933
9	0.7981065089	0.5544601565
10	0.7995266272	0.5448131369
11	0.7992899408	0.536856822
12	0.7992899408	0.5273986959
13	0.7985798817	0.5198883896
14	0.7978698225	0.5126815652
15	0.7978698225	0.506630444
16	0.7985798817	0.5006357362
17	0.7997633136	0.4956716975
18	0.8004733728	0.4904564329
19	0.7995266272	0.4864110806
20	0.801183432	0.4820088105
21	0.8018934911	0.4778165087
22	0.8009467456	0.4742528595
23	0.8004733728	0.4703325989
24	0.8	0.4673714985
25	0.8014201183	0.4634932328
26	0.8004733728	0.4601072312
27	0.8009467456	0.4576267536
28	0.8009467456	0.4551066183
29	0.8023668639	0.4528487091
30	0.8014201183	0.4500371558
31	0.8009467456	0.4479889643
32	0.801183432	0.4458589269
33	0.8014201183	0.443987571
34	0.801183432	0.4420650208
35	0.8014201183	0.4404007667
36	0.801183432	0.4386010359
37	0.8018934911	0.4369161139
38	0.8026035503	0.4350902057
39	0.8033136095	0.4335426105
40	0.8037869822	0.431759689
41	0.8040236686	0.4303962153
42	0.8037869822	0.4290935593
43	0.805443787	0.4275956465
44	0.8056804734	0.4260794664
45	0.805443787	0.4250425422
46	0.8066272189	0.4239400441
47	0.8073372781	0.4230023993
48	0.8078106509	0.4215111677
49	0.8085207101	0.4205039327
50	0.8082840237	0.4195049002
51	0.8085207101	0.4183064928
52	0.8094674556	0.4169913327
53	0.8094674556	0.4160711662
54	0.809704142	0.4154048668
55	0.8104142012	0.414360811
56	0.8106508876	0.4137808939
57	0.8099408284	0.4128835058
58	0.8113609467	0.4122957455
59	0.8113609467	0.4116050381
60	0.810887574	0.4110113976
61	0.8115976331	0.4100978332
62	0.8113609467	0.4095231458
63	0.8125443787	0.4090727562
64	0.8123076923	0.4085264865
65	0.8125443787	0.407751303
66	0.8125443787	0.407003977
67	0.8127810651	0.4063590153
68	0.8125443787	0.405970311
69	0.8130177515	0.4049797649
70	0.8134911243	0.404264339
71	0.8142011834	0.4038711146
72	0.8132544379	0.4032725753
73	0.8132544379	0.4027750192
74	0.8127810651	0.4022584839
75	0.8132544379	0.4017756551
76	0.8132544379	0.4013732705
77	0.8130177515	0.4008920028
78	0.8127810651	0.4005806478
79	0.8132544379	0.3999597629
80	0.813964497	0.3992805792
81	0.813964497	0.3987818716
82	0.8146745562	0.3981493013
83	0.8144378698	0.3977828194
84	0.8149112426	0.3972686883
85	0.8149112426	0.3968281344
86	0.8149112426	0.3964146989
87	0.8156213018	0.3958889711
88	0.8163313609	0.3953936095
89	0.8175147929	0.3948543984
90	0.8177514793	0.394539301
91	0.8175147929	0.3939796564
92	0.8189349112	0.3935563433
93	0.8182248521	0.393133006
94	0.8189349112	0.3925314515
95	0.8189349112	0.3921580702
96	0.8189349112	0.3918026687
97	0.8191715976	0.3913619535
98	0.8191715976	0.3910341023
99	0.8203550296	0.3906060267
100	0.8203550296	0.3899315704
101	0.8201183432	0.3895018145
102	0.820591716	0.3892609924
103	0.8201183432	0.388840122
104	0.8208284024	0.388422628
105	0.8210650888	0.3881075617
106	0.8217751479	0.3877052598
107	0.8215384615	0.3873579022
108	0.8224852071	0.3868559717
109	0.8222485207	0.3863832288
110	0.8220118343	0.386110141
111	0.8213017751	0.3857566942
112	0.8210650888	0.3854799143
113	0.8213017751	0.3853415439
114	0.8213017751	0.3851326386
115	0.8215384615	0.3848862388
116	0.8224852071	0.3845542786
117	0.8234319527	0.3842258402
118	0.8236686391	0.3838837471
119	0.8231952663	0.3835911893
120	0.8239053254	0.3831321459
121	0.8241420118	0.3829536377
122	0.8239053254	0.3826634842
123	0.8236686391	0.3823683356
124	0.8239053254	0.3819751023
125	0.8241420118	0.3816436492
126	0.8241420118	0.3812572848
127	0.8243786982	0.3809613918
128	0.8250887574	0.3806548932
129	0.8246153846	0.3803793076
130	0.8253254438	0.3801400647
131	0.8255621302	0.3798783615
132	0.826035503	0.3795780115
133	0.8257988166	0.3793103395
134	0.8262721893	0.3790000057
135	0.8262721893	0.3787804218
136	0.8262721893	0.3785097309
137	0.8262721893	0.3783594421
138	0.8262721893	0.3780617863
139	0.8257988166	0.3776775315
140	0.8257988166	0.3774919344
141	0.826035503	0.3774200998
142	0.8265088757	0.3772131459
143	0.8257988166	0.3768892466
144	0.8257988166	0.3766333371
145	0.826035503	0.376296795
146	0.826035503	0.3760548528
147	0.826035503	0.3756626463
148	0.8265088757	0.3751955903
149	0.8265088757	0.3749116904
150	0.8267455621	0.3746588544
151	0.8267455621	0.3746335565
152	0.8272189349	0.3743177662
153	0.8269822485	0.3740042798
154	0.8272189349	0.3737033234
155	0.8276923077	0.3734178907
156	0.8279289941	0.3731645252
157	0.8279289941	0.3728574667
158	0.8276923077	0.3725033785
159	0.8284023669	0.3722256039
160	0.8276923077	0.3720807322
161	0.8276923077	0.3716578827
162	0.8274556213	0.3714284631
163	0.8279289941	0.3709872879
164	0.8279289941	0.3707125883
165	0.8286390533	0.3703392084
166	0.8286390533	0.3700695912
167	0.8288757396	0.369753948
168	0.829112426	0.3694914801
169	0.8293491124	0.3693063523
170	0.8293491124	0.3690480092
171	0.8295857988	0.3688907736
172	0.8293491124	0.3687540367
173	0.8298224852	0.3684426669
174	0.8295857988	0.3681456829
175	0.8300591716	0.367859716
176	0.830295858	0.3675698624
177	0.8298224852	0.3671128798
178	0.8298224852	0.3669491147
179	0.8300591716	0.3666253001
180	0.8305325444	0.3664624414
181	0.830295858	0.3662699225
182	0.830295858	0.3658773399
183	0.8312426036	0.3656210178
184	0.830295858	0.3652210307
185	0.8307692308	0.3649624762
186	0.8307692308	0.3646840647
187	0.8307692308	0.3643053039
188	0.8305325444	0.3641064352
189	0.8312426036	0.3637122873
190	0.8310059172	0.3634029221
191	0.8310059172	0.3630119578
192	0.8310059172	0.3627652781
193	0.8312426036	0.3626660247
194	0.8314792899	0.362400206
195	0.8314792899	0.3622462762
196	0.8314792899	0.3620119594
