iter	Passed	Remaining
0	2	2405
1	4	2449
2	7	2363
3	9	2274
4	11	2297
5	13	2282
6	16	2289
7	18	2234
8	20	2291
9	22	2270
10	25	2290
11	28	2337
12	31	2374
13	34	2421
14	37	2462
15	40	2489
16	43	2524
17	46	2545
18	49	2574
19	52	2561
20	55	2578
21	58	2592
22	60	2584
23	63	2577
24	65	2570
25	68	2564
26	70	2552
27	73	2552
28	76	2561
29	79	2558
30	82	2566
31	84	2568
32	87	2572
33	90	2580
34	93	2578
35	96	2583
36	99	2593
37	102	2595
38	105	2599
39	108	2604
40	111	2597
41	113	2595
42	116	2591
43	119	2592
44	122	2596
45	124	2586
46	127	2586
47	130	2591
48	133	2592
49	136	2595
50	139	2590
51	141	2585
52	144	2578
53	146	2574
54	149	2573
55	152	2573
56	155	2568
57	157	2559
58	160	2552
59	162	2550
60	165	2551
61	168	2545
62	170	2537
63	172	2524
64	175	2518
65	177	2509
66	179	2504
67	182	2499
68	184	2486
69	186	2480
70	189	2475
71	191	2470
72	194	2467
73	197	2469
74	200	2469
75	203	2468
76	205	2469
77	208	2470
78	211	2468
79	214	2464
80	216	2457
81	218	2451
82	221	2448
83	224	2446
84	227	2444
85	229	2441
86	232	2435
87	234	2432
88	237	2429
89	239	2423
90	242	2425
91	245	2418
92	247	2412
93	250	2410
94	252	2404
95	254	2400
96	257	2396
97	259	2390
98	262	2385
99	264	2380
100	266	2376
101	269	2371
102	272	2370
103	275	2369
104	277	2369
105	280	2369
106	284	2370
107	287	2372
108	290	2373
109	293	2374
110	296	2376
111	299	2377
112	303	2379
113	306	2380
114	309	2379
115	312	2378
116	315	2379
117	318	2379
118	320	2376
119	323	2374
120	326	2370
121	328	2365
122	331	2361
123	333	2356
124	335	2350
125	338	2345
126	340	2340
127	342	2335
128	345	2329
129	347	2325
130	350	2321
131	352	2316
132	354	2311
133	356	2307
134	359	2301
135	361	2297
136	364	2297
137	367	2297
138	370	2297
139	374	2298
140	377	2302
141	380	2301
142	384	2303
143	387	2305
144	391	2307
145	394	2310
146	397	2307
147	400	2303
148	402	2300
149	405	2297
150	408	2295
151	410	2287
152	412	2285
153	415	2285
154	418	2283
155	422	2283
156	425	2284
157	428	2282
158	431	2281
159	434	2280
